sample;date;strain;temperature;nitrate;rep.well;Abs;comments;
Chsim_03/04/2016 16:30:00_Collection_34_L1;04/03/2016 16:30;Collection;34;L1;1;0.038;;
Chsim_03/04/2016 16:30:00_5-1_34_L1;04/03/2016 16:30;5-1;34;L1;1;0.054;;
Chsim_03/04/2016 16:30:00_5-2_34_L1;04/03/2016 16:30;5-2;34;L1;1;0.02;;
Chsim_03/04/2016 16:30:00_5-3_34_L1;04/03/2016 16:30;5-3;34;L1;1;0.015;;
Chsim_03/04/2016 16:30:00_5-4_34_L1;04/03/2016 16:30;5-4;34;L1;1;0.069;;
Chsim_03/04/2016 16:30:00_Collection_34_L1;04/03/2016 16:30;Collection;34;L1;2;0.074;;
Chsim_03/04/2016 16:30:00_5-1_34_L1;04/03/2016 16:30;5-1;34;L1;2;0.015;;
Chsim_03/04/2016 16:30:00_5-2_34_L1;04/03/2016 16:30;5-2;34;L1;2;0.083;;
Chsim_03/04/2016 16:30:00_5-3_34_L1;04/03/2016 16:30;5-3;34;L1;2;0.062;;
Chsim_03/04/2016 16:30:00_5-4_34_L1;04/03/2016 16:30;5-4;34;L1;2;0.117;;
Chsim_04/04/2016 9:00:00_Collection_34_L1;04/04/2016 09:00;Collection;34;L1;1;0.05;;
Chsim_04/04/2016 9:00:00_L1-4_34_L1;04/04/2016 09:00;L1-4;34;L1;1;0.044;;
Chsim_04/04/2016 9:00:00_5-1_34_L1;04/04/2016 09:00;5-1;34;L1;1;0.062;;
Chsim_04/04/2016 9:00:00_5-2_34_L1;04/04/2016 09:00;5-2;34;L1;1;0.029;;
Chsim_04/04/2016 9:00:00_5-3_34_L1;04/04/2016 09:00;5-3;34;L1;1;0.023;;
Chsim_04/04/2016 9:00:00_5-4_34_L1;04/04/2016 09:00;5-4;34;L1;1;0.076;;
Chsim_04/04/2016 9:00:00_Collection_34_L1;04/04/2016 09:00;Collection;34;L1;2;0.08;;
Chsim_04/04/2016 9:00:00_5-1_34_L1;04/04/2016 09:00;5-1;34;L1;2;0.023;;
Chsim_04/04/2016 9:00:00_5-2_34_L1;04/04/2016 09:00;5-2;34;L1;2;0.083;;
Chsim_04/04/2016 9:00:00_5-3_34_L1;04/04/2016 09:00;5-3;34;L1;2;0.061;;
Chsim_04/04/2016 9:00:00_5-4_34_L1;04/04/2016 09:00;5-4;34;L1;2;0.114;;
Chsim_04/04/2016 10:00:00_L1-1_34_L1;04/04/2016 10:00;L1-1;34;L1;1;0.028;;
Chsim_04/04/2016 10:00:00_L1-3_34_L1;04/04/2016 10:00;L1-3;34;L1;1;0.027;;
Chsim_05/04/2016 9:30:00_Collection_34_L1;04/05/2016 09:30;Collection;34;L1;1;0.053;;
Chsim_05/04/2016 9:30:00_L1-1_34_L1;04/05/2016 09:30;L1-1;34;L1;1;0.037;;
Chsim_05/04/2016 9:30:00_L1-3_34_L1;04/05/2016 09:30;L1-3;34;L1;1;0.035;;
Chsim_05/04/2016 9:30:00_L1-4_34_L1;04/05/2016 09:30;L1-4;34;L1;1;0.05;;
Chsim_05/04/2016 9:30:00_5-1_34_L1;04/05/2016 09:30;5-1;34;L1;1;0.065;;
Chsim_05/04/2016 9:30:00_5-2_34_L1;04/05/2016 09:30;5-2;34;L1;1;0.03;;
Chsim_05/04/2016 9:30:00_5-3_34_L1;04/05/2016 09:30;5-3;34;L1;1;0.025;;
Chsim_05/04/2016 9:30:00_5-4_34_L1;04/05/2016 09:30;5-4;34;L1;1;0.077;;
Chsim_05/04/2016 9:30:00_Collection_34_L1;04/05/2016 09:30;Collection;34;L1;2;0.074;;
Chsim_05/04/2016 9:30:00_5-1_34_L1;04/05/2016 09:30;5-1;34;L1;2;0.022;;
Chsim_05/04/2016 9:30:00_5-2_34_L1;04/05/2016 09:30;5-2;34;L1;2;0.07;;
Chsim_05/04/2016 9:30:00_5-3_34_L1;04/05/2016 09:30;5-3;34;L1;2;0.057;;
Chsim_05/04/2016 9:30:00_5-4_34_L1;04/05/2016 09:30;5-4;34;L1;2;0.107;;
Chsim_06/04/2016 8:45:00_Collection_34_L1;04/06/2016 08:45;Collection;34;L1;1;0.049;;
Chsim_06/04/2016 8:45:00_L1-1_34_L1;04/06/2016 08:45;L1-1;34;L1;1;0.039;;
Chsim_06/04/2016 8:45:00_L1-3_34_L1;04/06/2016 08:45;L1-3;34;L1;1;0.047;;
Chsim_06/04/2016 8:45:00_L1-4_34_L1;04/06/2016 08:45;L1-4;34;L1;1;0.042;;
Chsim_06/04/2016 8:45:00_5-1_34_L1;04/06/2016 08:45;5-1;34;L1;1;0.058;;
Chsim_06/04/2016 8:45:00_5-2_34_L1;04/06/2016 08:45;5-2;34;L1;1;0.025;;
Chsim_06/04/2016 8:45:00_5-3_34_L1;04/06/2016 08:45;5-3;34;L1;1;0.02;;
Chsim_06/04/2016 8:45:00_5-4_34_L1;04/06/2016 08:45;5-4;34;L1;1;0.072;;
Chsim_06/04/2016 8:45:00_Collection_34_L1;04/06/2016 08:45;Collection;34;L1;2;0.065;;
Chsim_06/04/2016 8:45:00_5-1_34_L1;04/06/2016 08:45;5-1;34;L1;2;0.015;;
Chsim_06/04/2016 8:45:00_5-2_34_L1;04/06/2016 08:45;5-2;34;L1;2;0.064;;
Chsim_06/04/2016 8:45:00_5-3_34_L1;04/06/2016 08:45;5-3;34;L1;2;0.05;;
Chsim_06/04/2016 8:45:00_5-4_34_L1;04/06/2016 08:45;5-4;34;L1;2;0.106;;
Chsim_07/04/2016 9:30:00_Collection_34_L1;04/07/2016 09:30;Collection;34;L1;1;0.046;;
Chsim_07/04/2016 9:30:00_L1-1_34_L1;04/07/2016 09:30;L1-1;34;L1;1;0.053;;
Chsim_07/04/2016 9:30:00_L1-3_34_L1;04/07/2016 09:30;L1-3;34;L1;1;0.065;;
Chsim_07/04/2016 9:30:00_L1-4_34_L1;04/07/2016 09:30;L1-4;34;L1;1;0.039;;
Chsim_07/04/2016 9:30:00_5-1_34_L1;04/07/2016 09:30;5-1;34;L1;1;0.057;;
Chsim_07/04/2016 9:30:00_5-2_34_L1;04/07/2016 09:30;5-2;34;L1;1;0.02;;
Chsim_07/04/2016 9:30:00_5-3_34_L1;04/07/2016 09:30;5-3;34;L1;1;0.017;;
Chsim_07/04/2016 9:30:00_5-4_34_L1;04/07/2016 09:30;5-4;34;L1;1;0.069;;
Chsim_07/04/2016 9:30:00_Collection_34_L1;04/07/2016 09:30;Collection;34;L1;2;0.062;;
Chsim_07/04/2016 9:30:00_L1-1_34_L1;04/07/2016 09:30;L1-1;34;L1;2;0.06;;
Chsim_07/04/2016 9:30:00_L1-3_34_L1;04/07/2016 09:30;L1-3;34;L1;2;0.054;;
Chsim_07/04/2016 9:30:00_L1-4_34_L1;04/07/2016 09:30;L1-4;34;L1;2;0.023;;
Chsim_07/04/2016 9:30:00_5-1_34_L1;04/07/2016 09:30;5-1;34;L1;2;0.012;;
Chsim_07/04/2016 9:30:00_5-2_34_L1;04/07/2016 09:30;5-2;34;L1;2;0.062;;
Chsim_07/04/2016 9:30:00_5-3_34_L1;04/07/2016 09:30;5-3;34;L1;2;0.05;;
