sample,date,strain,temperature,nitrate,rep.well,fluor,comments
Chsim_01/23/Saturday 13:44:00_Collection_12_L1,01/23/2016 13:44,Collection,12,L1,1,13.075,
Chsim_01/23/Saturday 13:44:00_Collection_12_L1,01/23/2016 13:44,Collection,12,L1,2,13.521,
Chsim_01/23/Saturday 13:44:00_Collection_12_L1,01/23/2016 13:44,Collection,12,L1,3,14.129,
Chsim_01/23/Saturday 13:44:00_Collection_12_L1,01/23/2016 13:44,Collection,12,L1,4,14.116,
Chsim_01/23/Saturday 13:44:00_Collection_12_5,01/23/2016 13:44,Collection,12,5,1,7.433,
Chsim_01/23/Saturday 13:44:00_Collection_12_5,01/23/2016 13:44,Collection,12,5,2,7.236,
Chsim_01/23/Saturday 13:44:00_Collection_12_5,01/23/2016 13:44,Collection,12,5,3,7.255,
Chsim_01/23/Saturday 13:44:00_Collection_12_5,01/23/2016 13:44,Collection,12,5,4,7.557,
Chsim_01/23/Saturday 13:44:00_Collection_20_L1,01/23/2016 13:44,Collection,20,L1,1,22.631,
Chsim_01/23/Saturday 13:44:00_Collection_20_L1,01/23/2016 13:44,Collection,20,L1,2,23.353,
Chsim_01/23/Saturday 13:44:00_Collection_20_L1,01/23/2016 13:44,Collection,20,L1,3,23.371,
Chsim_01/23/Saturday 13:44:00_Collection_20_L1,01/23/2016 13:44,Collection,20,L1,4,23.741,
Chsim_01/23/Saturday 13:44:00_Collection_20_5,01/23/2016 13:44,Collection,20,5,1,4.165,
Chsim_01/23/Saturday 13:44:00_Collection_20_5,01/23/2016 13:44,Collection,20,5,2,4.275,
Chsim_01/23/Saturday 13:44:00_Collection_20_5,01/23/2016 13:44,Collection,20,5,3,4.294,
Chsim_01/23/Saturday 13:44:00_Collection_20_5,01/23/2016 13:44,Collection,20,5,4,4.373,
Chsim_01/23/Saturday 13:44:00_Collection_25_L1,01/23/2016 13:44,Collection,25,L1,1,27.129,
Chsim_01/23/Saturday 13:44:00_Collection_25_L1,01/23/2016 13:44,Collection,25,L1,2,28.085,
Chsim_01/23/Saturday 13:44:00_Collection_25_L1,01/23/2016 13:44,Collection,25,L1,3,28.557,
Chsim_01/23/Saturday 13:44:00_Collection_25_L1,01/23/2016 13:44,Collection,25,L1,4,28.728,
Chsim_01/23/Saturday 13:44:00_Collection_25_5,01/23/2016 13:44,Collection,25,5,1,4.841,
Chsim_01/23/Saturday 13:44:00_Collection_25_5,01/23/2016 13:44,Collection,25,5,2,5.257,
Chsim_01/23/Saturday 13:44:00_Collection_25_5,01/23/2016 13:44,Collection,25,5,3,4.861,
Chsim_01/23/Saturday 13:44:00_Collection_25_5,01/23/2016 13:44,Collection,25,5,4,5.124,
Chsim_01/23/Saturday 13:44:00_Collection_29_L1,01/23/2016 13:44,Collection,29,L1,1,24.207,
Chsim_01/23/Saturday 13:44:00_Collection_29_L1,01/23/2016 13:44,Collection,29,L1,2,24.858,
Chsim_01/23/Saturday 13:44:00_Collection_29_L1,01/23/2016 13:44,Collection,29,L1,3,25.256,
Chsim_01/23/Saturday 13:44:00_Collection_29_L1,01/23/2016 13:44,Collection,29,L1,4,24.825,
Chsim_01/23/Saturday 13:44:00_Collection_29_5,01/23/2016 13:44,Collection,29,5,1,4.998,
Chsim_01/23/Saturday 13:44:00_Collection_29_5,01/23/2016 13:44,Collection,29,5,2,5.501,
Chsim_01/23/Saturday 13:44:00_Collection_29_5,01/23/2016 13:44,Collection,29,5,3,5.505,
Chsim_01/23/Saturday 13:44:00_Collection_29_5,01/23/2016 13:44,Collection,29,5,4,5.267,
Chsim_01/23/Saturday 13:44:00_Collection_31_L1,01/23/2016 13:44,Collection,31,L1,1,25.063,
Chsim_01/23/Saturday 13:44:00_Collection_31_L1,01/23/2016 13:44,Collection,31,L1,2,27.872,
Chsim_01/23/Saturday 13:44:00_Collection_31_L1,01/23/2016 13:44,Collection,31,L1,3,25.400,
Chsim_01/23/Saturday 13:44:00_Collection_31_L1,01/23/2016 13:44,Collection,31,L1,4,25.760,
Chsim_01/23/Saturday 13:44:00_Collection_31_5,01/23/2016 13:44,Collection,31,5,1,4.483,
Chsim_01/23/Saturday 13:44:00_Collection_31_5,01/23/2016 13:44,Collection,31,5,2,4.616,
Chsim_01/23/Saturday 13:44:00_Collection_31_5,01/23/2016 13:44,Collection,31,5,3,4.766,
Chsim_01/23/Saturday 13:44:00_Collection_31_5,01/23/2016 13:44,Collection,31,5,4,4.673,
Chsim_01/23/Saturday 13:44:00_Collection_32_L1,01/23/2016 13:44,Collection,32,L1,1,15.833,
Chsim_01/23/Saturday 13:44:00_Collection_32_L1,01/23/2016 13:44,Collection,32,L1,2,16.564,
Chsim_01/23/Saturday 13:44:00_Collection_32_L1,01/23/2016 13:44,Collection,32,L1,3,18.239,
Chsim_01/23/Saturday 13:44:00_Collection_32_L1,01/23/2016 13:44,Collection,32,L1,4,16.493,
Chsim_01/23/Saturday 13:44:00_Collection_32_5,01/23/2016 13:44,Collection,32,5,1,3.973,
Chsim_01/23/Saturday 13:44:00_Collection_32_5,01/23/2016 13:44,Collection,32,5,2,4.628,
Chsim_01/23/Saturday 13:44:00_Collection_32_5,01/23/2016 13:44,Collection,32,5,3,3.994,
Chsim_01/23/Saturday 13:44:00_Collection_32_5,01/23/2016 13:44,Collection,32,5,4,4.340,
Chsim_01/23/Saturday 13:44:00_Collection_34_L1,01/23/2016 13:44,Collection,34,L1,1,12.416,
Chsim_01/23/Saturday 13:44:00_Collection_34_L1,01/23/2016 13:44,Collection,34,L1,2,13.114,
Chsim_01/23/Saturday 13:44:00_Collection_34_L1,01/23/2016 13:44,Collection,34,L1,3,12.340,
Chsim_01/23/Saturday 13:44:00_Collection_34_L1,01/23/2016 13:44,Collection,34,L1,4,12.760,
Chsim_01/23/Saturday 13:44:00_Collection_34_5,01/23/2016 13:44,Collection,34,5,1,5.582,
Chsim_01/23/Saturday 13:44:00_Collection_34_5,01/23/2016 13:44,Collection,34,5,2,5.070,
Chsim_01/23/Saturday 13:44:00_Collection_34_5,01/23/2016 13:44,Collection,34,5,3,5.470,
Chsim_01/23/Saturday 13:44:00_Collection_34_5,01/23/2016 13:44,Collection,34,5,4,5.944,
Chsim_01/23/Saturday 14:18:00_L1-2_12_L1,01/23/2016 14:18,L1-2,12,L1,1,19.136,
Chsim_01/23/Saturday 14:18:00_L1-2_12_L1,01/23/2016 14:18,L1-2,12,L1,2,19.739,
Chsim_01/23/Saturday 14:18:00_L1-2_12_L1,01/23/2016 14:18,L1-2,12,L1,3,20.848,
Chsim_01/23/Saturday 14:18:00_L1-2_12_L1,01/23/2016 14:18,L1-2,12,L1,4,20.357,
Chsim_01/23/Saturday 14:18:00_L1-2_12_5,01/23/2016 14:18,L1-2,12,5,1,3.717,
Chsim_01/23/Saturday 14:18:00_L1-2_12_5,01/23/2016 14:18,L1-2,12,5,2,3.826,
