id,sample,period,temp,nitrate,rep,model,Var2,r,K,s,NA,tiempo en dias desde el inicio del exp,,,numero de GR,
31 5 1 1,31 5 1,1,31,5,1,mexp.22,Estimate,0.878674345,NA,-5.198671893,NA,3,,,328,para 5
31 5 1 10,31 5 1,2,31,5,1,mexp.22,Estimate,1.060471696,NA,-5.363195607,NA,6,,,332,para L1
31 5 1 11,31 5 1,3,31,5,1,mexp.22,Estimate,1.105033979,NA,-5.793737333,NA,9,,,,
31 5 1 12,31 5 1,4,31,5,1,mexp.22,Estimate,0.62217199,NA,-15.92297176,NA,12,,,,
31 5 1 14,31 5 1,5,31,5,1,mexp.22,Estimate,0.876874041,NA,-5.564953454,NA,15,,,,
31 5 1 15,31 5 1,6,31,5,1,mexp.22,Estimate,0.688823783,NA,-4.678639787,NA,18,,,,
31 5 1 16,31 5 1,7,31,5,1,mexp.22,Estimate,0.894532031,NA,-5.817996054,NA,21,,,,
31 5 1 17,31 5 1,8,31,5,1,mexp.22,Estimate,0.967330726,NA,-5.205514595,NA,24,,,,
31 5 1 18,31 5 1,9,31,5,1,mexp.22,Estimate,0.928512576,NA,-4.92811347,NA,27,,,,
31 5 1 19,31 5 1,10,31,5,1,mexp.22,Estimate,1.032478679,NA,-5.400224619,NA,30,,,,
31 5 1 2,31 5 1,11,31,5,1,mexp.22,Estimate,1.007371138,NA,-5.587002947,NA,33,,,,
31 5 1 20,31 5 1,12,31,5,1,mexp.22,Estimate,0.985381253,NA,-6.525104569,NA,36,,,,
31 5 1 21,31 5 1,14,31,5,1,mexp.22,Estimate,0.273705853,NA,-6.674248543,NA,42,,,,
31 5 1 23,31 5 1,16,31,5,1,mexp.22,Estimate,0.600849421,NA,-4.524988606,NA,48,,,,
31 5 1 24,31 5 1,17,31,5,1,mexp.22,Estimate,0.893028318,NA,-4.984119674,NA,51,,,,
31 5 1 25,31 5 1,18,31,5,1,mexp.22,Estimate,1.248464112,NA,-16.32124035,NA,54,,,,
31 5 1 26,31 5 1,19,31,5,1,mexp.22,Estimate,0.645174712,NA,-4.908017983,NA,57,,,,
31 5 1 27,31 5 1,20,31,5,1,mexp.22,Estimate,1.061761896,NA,-5.416403553,NA,60,,,,
31 5 1 28,31 5 1,21,31,5,1,mexp.22,Estimate,0.775332501,NA,-4.805104436,NA,63,,,,
31 5 1 29,31 5 1,22,31,5,1,mexp.22,Estimate,0.782404108,NA,-15.93433462,NA,66,,,,
