"Evol.Strain","Temperature","Well.Replicate","Growth.rate"
"Collection",12,"1",0.434794064260245
"Collection",12,"2",0.274130268068258
"Collection",12,"3",0.302424024529095
"Collection",12,"4",0.168603297297332
"Collection",20,"1",0.637017657780245
"Collection",20,"2",0.54994662394827
"Collection",20,"3",0.740144328755197
"Collection",20,"4",0.652515042038508
"Collection",25,"1",0.588660482519383
"Collection",25,"2",0.709199061079186
"Collection",25,"3",0.595111351010757
"Collection",25,"4",0.545746565304126
"Collection",29,"1",0.876858019945345
"Collection",29,"2",0.845693941528302
"Collection",29,"3",0.868248371316862
"Collection",29,"4",0.853929386933476
"Collection",31,"1",0.804464694562972
"Collection",31,"2",0.81647966923235
"Collection",31,"3",0.778491634510361
"Collection",31,"4",0.797856712854066
"Collection",32,"1",0.667691102266868
"Collection",32,"2",0.776733296146083
"Collection",32,"3",0.722895008280185
"Collection",32,"4",0.704299626840393
"L1-2",12,"1",0.211470496345907
"L1-2",12,"2",0.218127816877876
"L1-2",12,"3",0.266915177682868
"L1-2",12,"4",0.194697296017262
"L1-2",20,"1",0.55607938263841
"L1-2",20,"2",0.64792305018951
"L1-2",20,"3",0.773330790846129
"L1-2",20,"4",0.624336428334956
"L1-2",25,"1",0.798776054432528
"L1-2",25,"2",0.591993636136518
"L1-2",25,"3",0.53995034569691
"L1-2",25,"4",0.66302281811047
"L1-2",29,"1",0.686888089297753
"L1-2",29,"2",0.817042794103478
"L1-2",29,"3",0.577562167082178
"L1-2",29,"4",0.801312833309239
"L1-2",31,"1",0.774401595874505
"L1-2",31,"2",0.808590316821544
"L1-2",31,"3",0.850833685614521
"L1-2",31,"4",0.626400845575462
"L1-2",32,"1",0.637615158520537
"L1-2",32,"2",0.50075366019071
"L1-2",32,"3",0.652248560854339
"L1-2",32,"4",0.802624410770213
"L1-3",12,"1",0.277433410729686
"L1-3",12,"2",0.331763716395056
"L1-3",12,"3",0.316923632792059
"L1-3",12,"4",0.433377738093779
"L1-3",20,"1",0.711501634143742
"L1-3",20,"2",0.685485658224115
"L1-3",20,"3",0.702048641033749
"L1-3",20,"4",0.750027058479164
"L1-3",25,"1",0.572653871127525
"L1-3",25,"2",0.638552617055491
"L1-3",25,"3",0.70983070949186
"L1-3",25,"4",0.665170664313512
"L1-3",29,"1",0.726823380005421
"L1-3",29,"2",0.718496927745066
"L1-3",29,"3",0.578804325570805
"L1-3",29,"4",0.579495518072658
"L1-3",31,"1",0.785715061321784
"L1-3",31,"2",0.853931191467401
"L1-3",31,"3",0.85477919611874
"L1-3",31,"4",0.963358030883247
"L1-3",32,"1",0.731158673756029
"L1-3",32,"2",0.749659272240998
"L1-3",32,"3",0.600606873601536
"L1-3",32,"4",0.821269928478474
"5-3",12,"1",0.260501578829226
