sample,date,volume,strain,temperature,nitrate,rep.flask,fluor,comments
Chsim_05/23/2016 13:25:00_L1-1-old_10_L1,05/23/2016 13:25,50ml,L1-1-old,10,L1,1,5.851,
Chsim_05/23/2016 13:25:00_L1-1-old_10_L1,05/23/2016 13:25,50ml,L1-1-old,10,L1,2,5.874,
Chsim_05/23/2016 13:25:00_L1-1-old_10_L1,05/23/2016 13:25,50ml,L1-1-old,10,L1,3,5.963,
Chsim_05/23/2016 13:25:00_L1-1-old_20_L1,05/23/2016 13:25,50ml,L1-1-old,20,L1,1,4.759,
Chsim_05/23/2016 13:25:00_L1-1-old_20_L1,05/23/2016 13:25,50ml,L1-1-old,20,L1,2,4.903,
Chsim_05/23/2016 13:25:00_L1-1-old_20_L1,05/23/2016 13:25,50ml,L1-1-old,20,L1,3,4.673,
Chsim_05/23/2016 13:25:00_L1-1-old_25_L1,05/23/2016 13:25,50ml,L1-1-old,25,L1,1,7.884,
Chsim_05/23/2016 13:25:00_L1-1-old_25_L1,05/23/2016 13:25,50ml,L1-1-old,25,L1,2,7.509,
Chsim_05/23/2016 13:25:00_L1-1-old_25_L1,05/23/2016 13:25,50ml,L1-1-old,25,L1,3,7.905,
Chsim_05/23/2016 13:25:00_L1-1-old_29_L1,05/23/2016 13:25,50ml,L1-1-old,29,L1,1,5.023,
Chsim_05/23/2016 13:25:00_L1-1-old_29_L1,05/23/2016 13:25,50ml,L1-1-old,29,L1,2,5.076,
Chsim_05/23/2016 13:25:00_L1-1-old_29_L1,05/23/2016 13:25,50ml,L1-1-old,29,L1,3,5.024,
Chsim_05/23/2016 13:25:00_L1-1-old_31_L1,05/23/2016 13:25,50ml,L1-1-old,31,L1,1,4.118,
Chsim_05/23/2016 13:25:00_L1-1-old_31_L1,05/23/2016 13:25,50ml,L1-1-old,31,L1,2,4.077,
Chsim_05/23/2016 13:25:00_L1-1-old_31_L1,05/23/2016 13:25,50ml,L1-1-old,31,L1,3,4.225,
Chsim_05/23/2016 13:25:00_L1-1-old_32_L1,05/23/2016 13:25,50ml,L1-1-old,32,L1,1,5.558,
Chsim_05/23/2016 13:25:00_L1-1-old_32_L1,05/23/2016 13:25,50ml,L1-1-old,32,L1,2,5.708,
Chsim_05/23/2016 13:25:00_L1-1-old_32_L1,05/23/2016 13:25,50ml,L1-1-old,32,L1,3,5.593,
Chsim_05/23/2016 13:25:00_L1-1-old_34_L1,05/23/2016 13:25,50ml,L1-1-old,34,L1,1,8.776,
Chsim_05/23/2016 13:25:00_L1-1-old_34_L1,05/23/2016 13:25,50ml,L1-1-old,34,L1,2,8.978,
Chsim_05/23/2016 13:25:00_L1-1-old_34_L1,05/23/2016 13:25,50ml,L1-1-old,34,L1,3,9.188,
Chsim_05/23/2016 13:25:00_L1-1-old_35_L1,05/23/2016 13:25,50ml,L1-1-old,35,L1,1,6.585,
