"ids","r","sig","temperature","strain","case","case.code"
"ANCL1-1 1 10",-0.218708685872756,0.332882934940549,10,"ANCL1-1","lowP",0
"ANCL1-1 1 20",0.805843262244246,0.14951414494918,20,"ANCL1-1","lowP",0
"ANCL1-1 1 25",1.11828275825278,0.0129956576932273,25,"ANCL1-1","lowP",0
"ANCL1-1 1 29",1.12276896002974,0.118194644829755,29,"ANCL1-1","lowP",0
"ANCL1-1 1 31",1.20550076105257,0.131327315924254,31,"ANCL1-1","lowP",0
"ANCL1-1 1 32",0.593996028983354,0.0421982203557951,32,"ANCL1-1","lowP",0
"ANCL1-1 1 34",-0.326245760757883,0.00954857700824585,34,"ANCL1-1","lowP",0
"ANCL1-1 2 10",-0.301289102256819,0.30739808772368,10,"ANCL1-1","lowP",0
"ANCL1-1 2 20",0.796701280729937,0.149069893793734,20,"ANCL1-1","lowP",0
"ANCL1-1 2 25",1.11460473169272,0.0263354805666816,25,"ANCL1-1","lowP",0
"ANCL1-1 2 29",1.0925866444197,0.134134058726665,29,"ANCL1-1","lowP",0
"ANCL1-1 2 31",1.24855061777749,0.117562778774029,31,"ANCL1-1","lowP",0
"ANCL1-1 2 32",0.569860124773827,0.0428275462543099,32,"ANCL1-1","lowP",0
"ANCL1-1 2 34",-0.306072824909288,0.0385411392039611,34,"ANCL1-1","lowP",0
"ANCL1-1 3 10",-0.234545901063343,0.310423478691622,10,"ANCL1-1","lowP",0
"ANCL1-1 3 20",0.798515056045356,0.160716471609266,20,"ANCL1-1","lowP",0
"ANCL1-1 3 25",1.11843920965959,0.0086477265339544,25,"ANCL1-1","lowP",0
"ANCL1-1 3 29",1.13191135135012,0.107002376510679,29,"ANCL1-1","lowP",0
"ANCL1-1 3 31",1.28656099004587,0.0948543680695812,31,"ANCL1-1","lowP",0
"ANCL1-1 3 32",0.618388893123866,0.0278815200765052,32,"ANCL1-1","lowP",0
"ANCL1-1 3 34",-0.332313683408375,0.0407137823579198,34,"ANCL1-1","lowP",0
"Collect 1 10",-0.259231558242765,0.265900040201002,10,"Collect","lowP",0
"Collect 1 20",0.863017253767321,0.08753391196589,20,"Collect","lowP",0
"Collect 1 25",1.2067623829929,0.0228994719751947,25,"Collect","lowP",0
"Collect 1 29",1.16390029055091,0.143922688151854,29,"Collect","lowP",0
"Collect 1 31",1.08609453365003,0.177621574962848,31,"Collect","lowP",0
"Collect 1 32",0.674554784275767,0.0144956667987337,32,"Collect","lowP",0
"Collect 1 34",-0.414341652103406,0.0103291361923717,34,"Collect","lowP",0
"Collect 2 10",-0.257174436234404,0.243669859101211,10,"Collect","lowP",0
"Collect 2 20",0.880968840314725,0.0689032710129986,20,"Collect","lowP",0
"Collect 2 25",1.18977755195959,0.034271782164756,25,"Collect","lowP",0
"Collect 2 29",1.18058319325951,0.152534249854127,29,"Collect","lowP",0
"Collect 2 31",1.21109407155428,0.212853285487599,31,"Collect","lowP",0
"Collect 2 32",0.674693348821773,0.015191967625827,32,"Collect","lowP",0
"Collect 2 34",-0.432126369040918,0.0555806367685421,34,"Collect","lowP",0
"Collect 3 10",-0.233330674689173,0.289250879483397,10,"Collect","lowP",0
"Collect 3 20",0.90292707311121,0.0692606998643377,20,"Collect","lowP",0
"Collect 3 25",1.21512317259654,0.0414735106542581,25,"Collect","lowP",0
"Collect 3 29",1.11527304794193,0.188475521216243,29,"Collect","lowP",0
"Collect 3 31",1.22917688553944,0.182044094803545,31,"Collect","lowP",0
"Collect 3 32",0.674541500148367,0.0113684275824897,32,"Collect","lowP",0
"Collect 3 34",-0.486121491752092,0.0353089587288836,34,"Collect","lowP",0
"L1-1-old 1 10",-0.213508681236777,0.214476346900844,10,"L1-1-old","highP",1
"L1-1-old 1 20",0.681955553750782,0.0983744331574825,20,"L1-1-old","highP",1
"L1-1-old 1 25",1.07172717365622,0.00363280466367666,25,"L1-1-old","highP",1
"L1-1-old 1 29",1.0902175976719,0.142679734029201,29,"L1-1-old","highP",1
"L1-1-old 1 31",1.1811167168938,0.139352956961112,31,"L1-1-old","highP",1
"L1-1-old 1 32",1.20967655418392,0.0414185230250936,32,"L1-1-old","highP",1
"L1-1-old 1 34",0.910697669827008,0.0435854541432836,34,"L1-1-old","highP",1
"L1-1-old 1 35",0.365514316511537,0.0162417900542099,35,"L1-1-old","highP",1
"L1-1-old 2 10",-0.221172954732616,0.277678331383591,10,"L1-1-old","highP",1
"L1-1-old 2 20",0.690973702135938,0.136824213105171,20,"L1-1-old","highP",1
"L1-1-old 2 25",1.07421028279423,0.0202854552092242,25,"L1-1-old","highP",1
"L1-1-old 2 29",1.08532555210686,0.151265716934516,29,"L1-1-old","highP",1
"L1-1-old 2 31",1.17953876886986,0.105490027724034,31,"L1-1-old","highP",1
"L1-1-old 2 32",1.2051528093102,0.0318991583111352,32,"L1-1-old","highP",1
"L1-1-old 2 34",0.96577144119086,0.0898267517338973,34,"L1-1-old","highP",1
"L1-1-old 2 35",0.365247840040227,0.0429149993627915,35,"L1-1-old","highP",1
"L1-1-old 3 10",-0.283774151877652,0.297148097085382,10,"L1-1-old","highP",1
"L1-1-old 3 20",0.728538856615008,0.0940832496339847,20,"L1-1-old","highP",1
"L1-1-old 3 25",1.10107086837692,0.0013765189627466,25,"L1-1-old","highP",1
"L1-1-old 3 29",1.08011487164828,0.13285172189011,29,"L1-1-old","highP",1
"L1-1-old 3 31",1.23241310911217,0.102033885658455,31,"L1-1-old","highP",1
"L1-1-old 3 32",1.2182216993285,0.00865070144336966,32,"L1-1-old","highP",1
"L1-1-old 3 34",0.974513674998215,0.0794808588734601,34,"L1-1-old","highP",1
"L1-1-old 3 35",0.411015897318018,0.0356128273052237,35,"L1-1-old","highP",1
"L1-3 1 10",-0.0814803489943152,0.174119841553408,10,"L1-3","highP",1
"L1-3 1 20",0.833693504764189,0.0888999189760309,20,"L1-3","highP",1
"L1-3 1 25",1.08927659855653,0.0455498407555333,25,"L1-3","highP",1
"L1-3 1 29",1.16913789967261,0.185854181331262,29,"L1-3","highP",1
"L1-3 1 31",1.28268270776909,0.195433623686155,31,"L1-3","highP",1
"L1-3 1 32",1.30102301114566,0.0987639235547246,32,"L1-3","highP",1
"L1-3 1 34",0.842649569963337,0.086120082627908,34,"L1-3","highP",1
"L1-3 1 35",0.361691101521382,0.0121734113232209,35,"L1-3","highP",1
"L1-3 2 10",-0.0883971771055595,0.251645770043352,10,"L1-3","highP",1
"L1-3 2 20",0.806344887359344,0.111021062073981,20,"L1-3","highP",1
"L1-3 2 25",1.10419580308538,0.0509326479385686,25,"L1-3","highP",1
"L1-3 2 29",1.13513964201303,0.198039156733769,29,"L1-3","highP",1
"L1-3 2 31",1.25637314240508,0.0588870259215031,31,"L1-3","highP",1
"L1-3 2 32",1.27595827886895,0.104998903313313,32,"L1-3","highP",1
"L1-3 2 34",0.88867472010989,0.129392884311991,34,"L1-3","highP",1
"L1-3 2 35",0.283357582229834,0.00473485701593917,35,"L1-3","highP",1
"L1-3 3 10",-0.0820314809873665,0.212576463601977,10,"L1-3","highP",1
"L1-3 3 20",0.846534829695016,0.122628603657704,20,"L1-3","highP",1
"L1-3 3 25",1.13926249309419,0.00790645237239662,25,"L1-3","highP",1
"L1-3 3 29",1.14974173803775,0.185313887992452,29,"L1-3","highP",1
"L1-3 3 31",1.35806916497533,0.146630662215803,31,"L1-3","highP",1
"L1-3 3 32",1.32726507255903,0.0771757235400377,32,"L1-3","highP",1
"L1-3 3 34",0.91417822846126,0.0982595068456231,34,"L1-3","highP",1
"L1-3 3 35",0.317586480632298,0.00811706904503579,35,"L1-3","highP",1
